0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.1,1,3.4021e-13,2.4007e-10,6.867e-12,-2.0868e-09,1.349e-12,0.1,0,0,0,0,0,0,0,0,-0.34907,0,0
0.2,0.99972,-0.0013129,-1.7605e-07,-0.00015373,1.5307e-06,0.0016027,0.2,3.4021e-14,0,6.867e-13,-2.0868e-10,1.349e-13,0,0,0,-0.34907,0,0
0.3,0.9994,-0.0026622,-4.967e-07,-0.00030097,3.2212e-06,0.0031585,0.29997,-0.00013129,2.0862e-11,-1.5373e-05,1.5286e-07,0.00016027,0,0,0,-0.34907,0,0
0.4,0.99904,-0.0040454,-1.1483e-06,-0.0004412,5.0261e-06,0.0046687,0.39991,-0.0003815,-5.7923e-08,-4.5469e-05,4.7983e-07,0.00047612,0,0,0,-0.34907,0,0
0.5,0.99865,-0.0054602,-2.3081e-06,-0.00057399,6.8975e-06,0.0061348,0.49982,-0.00073847,-2.9847e-07,-8.9589e-05,1.0037e-06,0.000943,0,0,0,-0.34907,0,0
0.6,0.99823,-0.0069043,-4.1438e-06,-0.00069903,8.7843e-06,0.007558,0.59968,-0.0011903,-9.1357e-07,-0.00014699,1.7484e-06,0.0015565,0,0,0,-0.34907,0,0
0.7,0.99778,-0.0083756,-6.8135e-06,-0.00081608,1.0633e-05,0.0089397,0.69951,-0.0017254,-2.1627e-06,-0.00021689,2.7379e-06,0.0023123,0,0,0,-0.34907,0,0
0.8,0.99729,-0.0098719,-1.0465e-05,-0.00092497,1.2387e-05,0.010281,0.79929,-0.0023322,-4.3724e-06,-0.00029849,3.9951e-06,0.0032063,0,0,0,-0.34907,0,0
0.9,0.99678,-0.011391,-1.5237e-05,-0.0010256,1.3991e-05,0.011584,0.89902,-0.0029996,-7.9357e-06,-0.00039099,5.5407e-06,0.0042344,0,0,0,-0.34907,0,0
1,0.99623,-0.012932,-2.1259e-05,-0.001118,1.5388e-05,0.012848,0.9987,-0.0037167,-1.3311e-05,-0.00049354,7.3927e-06,0.0053927,0,0,0,-0.34907,0,0
1.1,0.99566,-0.014491,-2.8648e-05,-0.0012023,1.652e-05,0.014076,1.0983,-0.0044726,-2.102e-05,-0.00060534,9.5656e-06,0.0066775,0,0,0,-0.34907,0,0
1.2,0.99506,-0.016068,-3.7516e-05,-0.0012784,1.7331e-05,0.015268,1.1979,-0.0052568,-3.1647e-05,-0.00072555,1.207e-05,0.0080851,0,0,0,0.34907,0,0
